Sample_ID	Population
EPI_ISL_542187	NZ
EPI_ISL_542188	NZ
EPI_ISL_542189	NZ
EPI_ISL_542190	NZ
EPI_ISL_542191	NZ
EPI_ISL_542192	NZ
EPI_ISL_542193	NZ
EPI_ISL_542194	NZ
EPI_ISL_542195	NZ
EPI_ISL_542196	NZ
EPI_ISL_542197	NZ
EPI_ISL_542198	NZ
EPI_ISL_542199	NZ
EPI_ISL_542200	NZ
EPI_ISL_542201	NZ
EPI_ISL_542202	NZ
EPI_ISL_542203	NZ
EPI_ISL_542204	NZ
EPI_ISL_542205	NZ
EPI_ISL_542206	NZ
EPI_ISL_542207	NZ
EPI_ISL_542208	NZ
EPI_ISL_542209	NZ
EPI_ISL_542210	NZ
EPI_ISL_542211	NZ
EPI_ISL_542212	NZ
EPI_ISL_542213	NZ
EPI_ISL_542214	NZ
EPI_ISL_542215	NZ
EPI_ISL_542216	NZ
EPI_ISL_542217	NZ
EPI_ISL_542218	NZ
EPI_ISL_542219	NZ
EPI_ISL_542220	NZ
EPI_ISL_542221	NZ
EPI_ISL_542222	NZ
EPI_ISL_542223	NZ
EPI_ISL_542224	NZ
EPI_ISL_542225	NZ
EPI_ISL_542226	NZ
EPI_ISL_542228	NZ
EPI_ISL_542229	NZ
EPI_ISL_542230	NZ
EPI_ISL_542231	NZ
EPI_ISL_542232	NZ
EPI_ISL_542233	NZ
EPI_ISL_542234	NZ
EPI_ISL_542235	NZ
EPI_ISL_542236	NZ
EPI_ISL_542237	NZ
EPI_ISL_542238	NZ
EPI_ISL_542239	NZ
EPI_ISL_542240	NZ
EPI_ISL_542241	NZ
EPI_ISL_542242	NZ
EPI_ISL_542243	NZ
EPI_ISL_542244	NZ
EPI_ISL_542245	NZ
EPI_ISL_542246	NZ
EPI_ISL_542247	NZ
EPI_ISL_542248	NZ
EPI_ISL_542249	NZ
EPI_ISL_542250	NZ
EPI_ISL_542251	NZ
EPI_ISL_542252	NZ
EPI_ISL_542253	NZ
EPI_ISL_542254	NZ
EPI_ISL_542255	NZ
EPI_ISL_542256	NZ
EPI_ISL_542257	NZ
EPI_ISL_542258	NZ
EPI_ISL_542259	NZ
EPI_ISL_542260	NZ
EPI_ISL_542261	NZ
EPI_ISL_542262	NZ
EPI_ISL_542263	NZ
EPI_ISL_542264	NZ
EPI_ISL_542265	NZ
EPI_ISL_542266	NZ
EPI_ISL_542267	NZ
EPI_ISL_542268	NZ
EPI_ISL_542269	NZ
EPI_ISL_542270	NZ
EPI_ISL_542271	NZ
EPI_ISL_542272	NZ
EPI_ISL_542273	NZ
EPI_ISL_542274	NZ
EPI_ISL_542275	NZ
EPI_ISL_542276	NZ
EPI_ISL_542277	NZ
EPI_ISL_542278	NZ
EPI_ISL_542279	NZ
EPI_ISL_542280	NZ
EPI_ISL_542281	NZ
EPI_ISL_542282	NZ
EPI_ISL_542283	NZ
EPI_ISL_542284	NZ
EPI_ISL_542285	NZ
EPI_ISL_542286	NZ
EPI_ISL_542287	NZ
EPI_ISL_542288	NZ
EPI_ISL_542289	NZ
EPI_ISL_542290	NZ
EPI_ISL_542291	NZ
EPI_ISL_542292	NZ
EPI_ISL_542293	NZ
EPI_ISL_542294	NZ
EPI_ISL_542295	NZ
EPI_ISL_542296	NZ
EPI_ISL_542297	NZ
EPI_ISL_542298	NZ
EPI_ISL_542299	NZ
EPI_ISL_542300	NZ
EPI_ISL_542301	NZ
EPI_ISL_542302	NZ
EPI_ISL_542303	NZ
EPI_ISL_542304	NZ
EPI_ISL_542305	NZ
EPI_ISL_542306	NZ
EPI_ISL_542307	NZ
EPI_ISL_542308	NZ
EPI_ISL_542309	NZ
EPI_ISL_542310	NZ
EPI_ISL_542311	NZ
EPI_ISL_542312	NZ
EPI_ISL_542313	NZ
EPI_ISL_542314	NZ
EPI_ISL_542315	NZ
EPI_ISL_542316	NZ
EPI_ISL_542317	NZ
EPI_ISL_542318	NZ
EPI_ISL_542319	NZ
EPI_ISL_542320	NZ
EPI_ISL_542321	NZ
EPI_ISL_542322	NZ
EPI_ISL_542323	NZ
EPI_ISL_542324	NZ
EPI_ISL_542325	NZ
EPI_ISL_542326	NZ
EPI_ISL_542327	NZ
EPI_ISL_542328	NZ
EPI_ISL_542329	NZ
EPI_ISL_542330	NZ
EPI_ISL_542331	NZ
EPI_ISL_542332	NZ
EPI_ISL_542333	NZ
EPI_ISL_542334	NZ
EPI_ISL_542335	NZ
EPI_ISL_542336	NZ
EPI_ISL_542337	NZ
EPI_ISL_542338	NZ
EPI_ISL_542339	NZ
EPI_ISL_542340	NZ
EPI_ISL_542341	NZ
EPI_ISL_542342	NZ
EPI_ISL_542343	NZ
EPI_ISL_542344	NZ
EPI_ISL_542345	NZ
EPI_ISL_542346	NZ
EPI_ISL_542347	NZ
EPI_ISL_542348	NZ
EPI_ISL_542349	NZ
EPI_ISL_542350	NZ
EPI_ISL_542351	NZ
EPI_ISL_542352	NZ
EPI_ISL_542353	NZ
EPI_ISL_542354	NZ
EPI_ISL_542355	NZ
EPI_ISL_542356	NZ
EPI_ISL_542357	NZ
EPI_ISL_542358	NZ
EPI_ISL_542359	NZ
EPI_ISL_542360	NZ
EPI_ISL_542361	NZ
EPI_ISL_542362	NZ
EPI_ISL_542363	NZ
EPI_ISL_542364	NZ
EPI_ISL_542365	NZ
EPI_ISL_542366	NZ
EPI_ISL_542367	NZ
EPI_ISL_542368	NZ
EPI_ISL_542369	NZ
EPI_ISL_542370	NZ
EPI_ISL_542371	NZ
EPI_ISL_542372	NZ
EPI_ISL_542373	NZ
EPI_ISL_542374	NZ
EPI_ISL_542375	NZ
EPI_ISL_542376	NZ
EPI_ISL_542377	NZ
EPI_ISL_542378	NZ
EPI_ISL_542379	NZ
EPI_ISL_542380	NZ
EPI_ISL_542381	NZ
EPI_ISL_542382	NZ
EPI_ISL_542383	NZ
EPI_ISL_542384	NZ
EPI_ISL_542385	NZ
EPI_ISL_542386	NZ
EPI_ISL_542387	NZ
EPI_ISL_542388	NZ
EPI_ISL_542389	NZ
EPI_ISL_542390	NZ
EPI_ISL_542391	NZ
EPI_ISL_542392	NZ
EPI_ISL_542393	NZ
EPI_ISL_542394	NZ
EPI_ISL_542395	NZ
EPI_ISL_542396	NZ
EPI_ISL_542397	NZ
EPI_ISL_542398	NZ
EPI_ISL_542399	NZ
EPI_ISL_542400	NZ
EPI_ISL_542401	NZ
EPI_ISL_542402	NZ
EPI_ISL_542403	NZ
EPI_ISL_542404	NZ
EPI_ISL_542405	NZ
EPI_ISL_542406	NZ
EPI_ISL_542407	NZ
EPI_ISL_542408	NZ
EPI_ISL_542409	NZ
EPI_ISL_542410	NZ
EPI_ISL_542411	NZ
EPI_ISL_542412	NZ
EPI_ISL_542413	NZ
EPI_ISL_542414	NZ
EPI_ISL_542415	NZ
EPI_ISL_542416	NZ
EPI_ISL_542417	NZ
EPI_ISL_542418	NZ
EPI_ISL_542419	NZ
EPI_ISL_542420	NZ
EPI_ISL_542421	NZ
EPI_ISL_542422	NZ
EPI_ISL_542423	NZ
EPI_ISL_542424	NZ
EPI_ISL_542425	NZ
EPI_ISL_542426	NZ
EPI_ISL_542427	NZ
EPI_ISL_542428	NZ
EPI_ISL_542429	NZ
