Sample_ID	Population
EPI_ISL_443308	START
EPI_ISL_443309	START
EPI_ISL_443314	START
EPI_ISL_443315	START
EPI_ISL_443316	START
EPI_ISL_444022	START
EPI_ISL_444456	START
EPI_ISL_444457	START
EPI_ISL_444458	START
EPI_ISL_444459	START
EPI_ISL_444460	START
EPI_ISL_444462	START
EPI_ISL_444465	START
EPI_ISL_444466	START
EPI_ISL_444468	START
EPI_ISL_444469	START
EPI_ISL_444471	START
EPI_ISL_444474	START
EPI_ISL_444475	START
EPI_ISL_444476	START
EPI_ISL_444477	START
EPI_ISL_444480	START
EPI_ISL_444481	START
EPI_ISL_444482	START
EPI_ISL_444483	START
EPI_ISL_444484	START
EPI_ISL_444486	START
EPI_ISL_444493	START
EPI_ISL_444969	START
EPI_ISL_444994	START
EPI_ISL_444995	START
EPI_ISL_444996	START
EPI_ISL_444998	START
EPI_ISL_445000	START
EPI_ISL_445078	START
EPI_ISL_445079	START
EPI_ISL_445080	START
EPI_ISL_445081	START
EPI_ISL_445082	START
EPI_ISL_445083	START
EPI_ISL_445084	START
EPI_ISL_445214	START
EPI_ISL_445215	START
EPI_ISL_445216	START
EPI_ISL_445219	START
EPI_ISL_445220	START
EPI_ISL_445243	START
EPI_ISL_447030	START
EPI_ISL_447031	START
EPI_ISL_447033	START
EPI_ISL_447034	START
EPI_ISL_447035	START
EPI_ISL_447038	START
EPI_ISL_447039	START
EPI_ISL_447042	START
EPI_ISL_447043	START
EPI_ISL_447044	START
EPI_ISL_447045	START
EPI_ISL_447048	START
EPI_ISL_447053	START
EPI_ISL_447054	START
EPI_ISL_447251	START
EPI_ISL_447252	START
EPI_ISL_447253	START
EPI_ISL_447255	START
EPI_ISL_447257	START
EPI_ISL_447281	START
EPI_ISL_447282	START
EPI_ISL_447283	START
EPI_ISL_447284	START
EPI_ISL_447285	START
EPI_ISL_447286	START
EPI_ISL_447287	START
EPI_ISL_447288	START
EPI_ISL_447289	START
EPI_ISL_447290	START
EPI_ISL_447291	START
EPI_ISL_447292	START
EPI_ISL_447293	START
EPI_ISL_447294	START
EPI_ISL_447295	START
EPI_ISL_447296	START
EPI_ISL_447297	START
EPI_ISL_447299	START
EPI_ISL_447300	START
EPI_ISL_447301	START
EPI_ISL_447302	START
